city,date,hour,NDVI,.geo
Amritsar,2024-05-01,10:30,0.1281566509,"{""type"":""Point"",""coordinates"":[74.71232837843303,31.7175390468942]}"
Amritsar,2024-05-01,10:30,0.1920261641,"{""type"":""Point"",""coordinates"":[74.71240975007498,31.669171184061625]}"
Amritsar,2024-05-01,10:30,0.190011576,"{""type"":""Point"",""coordinates"":[74.71318896807344,31.866510370480334]}"
Amritsar,2024-05-01,10:30,0.1498916683,"{""type"":""Point"",""coordinates"":[74.71324356214797,31.800206389793967]}"
Amritsar,2024-05-01,10:30,0.1312977099,"{""type"":""Point"",""coordinates"":[74.7141731051356,31.790875358188323]}"
Amritsar,2024-05-01,10:30,0.2172513679,"{""type"":""Point"",""coordinates"":[74.71587991321513,31.89436412014804]}"
Amritsar,2024-05-01,10:30,0.1122210083,"{""type"":""Point"",""coordinates"":[74.71721445435418,31.762319327108695]}"
Amritsar,2024-05-01,10:30,0.1813769549,"{""type"":""Point"",""coordinates"":[74.717312341698,31.893449592082497]}"
Amritsar,2024-05-01,10:30,0.2751519906,"{""type"":""Point"",""coordinates"":[74.71882514810113,31.912701784651127]}"
Amritsar,2024-05-01,10:30,0.1389141644,"{""type"":""Point"",""coordinates"":[74.71928672474552,31.55423809342844]}"
Amritsar,2024-05-01,10:30,0.131710362,"{""type"":""Point"",""coordinates"":[74.72100557001505,31.708453293587176]}"
Amritsar,2024-05-01,10:30,0.1355009077,"{""type"":""Point"",""coordinates"":[74.72162389577436,31.765466402254393]}"
Amritsar,2024-05-01,10:30,0.1226742353,"{""type"":""Point"",""coordinates"":[74.72235618570984,31.69201587700823]}"
Amritsar,2024-05-01,10:30,0.4475342974,"{""type"":""Point"",""coordinates"":[74.72418076499217,31.61126461176026]}"
Amritsar,2024-05-01,10:30,0.1852296608,"{""type"":""Point"",""coordinates"":[74.72513406596595,31.709976180628896]}"
Amritsar,2024-05-01,10:30,0.114768952,"{""type"":""Point"",""coordinates"":[74.72561406937176,31.58788449841623]}"
Amritsar,2024-05-01,10:30,0.2223492893,"{""type"":""Point"",""coordinates"":[74.72635122444953,31.757324730654897]}"
Amritsar,2024-05-01,10:30,0.1216131065,"{""type"":""Point"",""coordinates"":[74.72778528913402,31.5679462225676]}"
Amritsar,2024-05-01,10:30,0.1346044931,"{""type"":""Point"",""coordinates"":[74.72883552661558,31.930464712905952]}"
Amritsar,2024-05-01,10:30,0.1004947434,"{""type"":""Point"",""coordinates"":[74.72897716606523,31.64230792450687]}"
Amritsar,2024-05-01,10:30,0.1319895969,"{""type"":""Point"",""coordinates"":[74.72938707044692,31.76273392333663]}"
Amritsar,2024-05-01,10:30,0.1253785584,"{""type"":""Point"",""coordinates"":[74.73069231371383,31.612958192262052]}"
Amritsar,2024-05-01,10:30,0.1727158949,"{""type"":""Point"",""coordinates"":[74.73359012095045,31.722956879442485]}"
Amritsar,2024-05-01,10:30,0.140233463,"{""type"":""Point"",""coordinates"":[74.73666475117226,31.939907087769154]}"
Amritsar,2024-05-01,10:30,0.1982843946,"{""type"":""Point"",""coordinates"":[74.73936804031834,31.850188575726214]}"
Amritsar,2024-05-01,10:30,0.1593618808,"{""type"":""Point"",""coordinates"":[74.7414656377988,31.864430295868594]}"
Amritsar,2024-05-01,10:30,0.2969078355,"{""type"":""Point"",""coordinates"":[74.74284798109427,31.576706438420874]}"
Amritsar,2024-05-01,10:30,0.1515262292,"{""type"":""Point"",""coordinates"":[74.74370633198572,31.867065284544005]}"
Amritsar,2024-05-01,10:30,0.09675739029,"{""type"":""Point"",""coordinates"":[74.74376591752824,31.663747892088537]}"
Amritsar,2024-05-01,10:30,0.1572809064,"{""type"":""Point"",""coordinates"":[74.74404417762828,31.915100979350253]}"
Amritsar,2024-05-01,10:30,0.1089197669,"{""type"":""Point"",""coordinates"":[74.74909955735063,31.80648241044718]}"
Amritsar,2024-05-01,10:30,0.2395340371,"{""type"":""Point"",""coordinates"":[74.75192983869994,31.883893420161186]}"
Amritsar,2024-05-01,10:30,0.2365991903,"{""type"":""Point"",""coordinates"":[74.75431866461157,31.58453552768543]}"
Amritsar,2024-05-01,10:30,0.1050771208,"{""type"":""Point"",""coordinates"":[74.75646275144085,31.71584121101865]}"
Amritsar,2024-05-01,10:30,0.3516506049,"{""type"":""Point"",""coordinates"":[74.75663303016161,31.632403811495713]}"
Amritsar,2024-05-01,10:30,0.1131396957,"{""type"":""Point"",""coordinates"":[74.75922881628863,31.83207864174949]}"
Amritsar,2024-05-01,10:30,0.1266331658,"{""type"":""Point"",""coordinates"":[74.7606203627508,31.905324675906872]}"
