City,Districts,Date,Latitude,Longitude,Key,DHI,DNI,GHI,RELATIVE_HUMIDITY,WIND_SPEED_10m,NDVI
Amritsar,Amritsar I Tahsil,2024-05-08,31.56826409,74.68575319,31.56826409-74.68575319,89.16666667,312.7083333,320.7916667,36.45,2.066666667,0.0741318214
Amritsar,Amritsar I Tahsil,2024-05-09,31.56826409,74.68575319,31.56826409-74.68575319,125.25,204.125,284.7083333,47.77083333,2.875,0.0741318214
Amritsar,Amritsar I Tahsil,2024-05-10,31.56826409,74.68575319,31.56826409-74.68575319,147.75,116.375,244.5833333,51.1375,2.445833333,0.0741318214
Amritsar,Amritsar I Tahsil,2024-05-11,31.56826409,74.68575319,31.56826409-74.68575319,127.125,132.0833333,228.9166667,49.11666667,2.183333333,0.06021019761
Amritsar,Amritsar I Tahsil,2024-05-12,31.56826409,74.68575319,31.56826409-74.68575319,150.1666667,78,211.4583333,54.76666667,2.795833333,0.06021019761
Amritsar,Amritsar I Tahsil,2024-05-13,31.56826409,74.68575319,31.56826409-74.68575319,100.6666667,283.3333333,316.8333333,40.90416667,2.525,0.06021019761
Amritsar,Amritsar I Tahsil,2024-05-14,31.56826409,74.68575319,31.56826409-74.68575319,94.70833333,303.0833333,324.1666667,36.92916667,2.4875,0.06021019761
Amritsar,Amritsar I Tahsil,2024-05-15,31.56826409,74.68575319,31.56826409-74.68575319,108.5416667,260.8333333,309.0833333,35.625,1.508333333,0.06021019761
Amritsar,Amritsar I Tahsil,2024-05-16,31.56826409,74.68575319,31.56826409-74.68575319,126.4583333,209.9166667,293.75,34.375,2.2625,0.04628857381
Amritsar,Amritsar I Tahsil,2024-05-17,31.56826409,74.68575319,31.56826409-74.68575319,111.9583333,240.6666667,302.2083333,33.29583333,2.308333333,0.04628857381
Amritsar,Amritsar I Tahsil,2024-05-18,31.56826409,74.68575319,31.56826409-74.68575319,107.25,260.2083333,308.3333333,31.9625,3.05,0.04628857381
Amritsar,Amritsar I Tahsil,2024-05-19,31.56826409,74.68575319,31.56826409-74.68575319,93.54166667,278.7916667,313.4583333,33.2625,2.204166667,0.04628857381
Amritsar,Amritsar I Tahsil,2024-05-20,31.56826409,74.68575319,31.56826409-74.68575319,100.2916667,268.2916667,314.7083333,30.48333333,1.966666667,0.04628857381
Amritsar,Amritsar I Tahsil,2024-05-21,31.56826409,74.68575319,31.56826409-74.68575319,117.375,237.2916667,303.125,30.18333333,1.9,0.05770816158
Amritsar,Amritsar I Tahsil,2024-05-22,31.56826409,74.68575319,31.56826409-74.68575319,109.875,255.2083333,311.6666667,37.1375,1.658333333,0.05770816158
Amritsar,Amritsar I Tahsil,2024-05-23,31.56826409,74.68575319,31.56826409-74.68575319,142.5416667,156.4166667,273.25,46.275,2.320833333,0.05770816158
Amritsar,Amritsar I Tahsil,2024-05-24,31.56826409,74.68575319,31.56826409-74.68575319,156.4583333,116.2916667,252.9583333,47.15416667,2.158333333,0.05770816158
Amritsar,Amritsar I Tahsil,2024-05-25,31.56826409,74.68575319,31.56826409-74.68575319,115.9166667,243.2916667,304.875,36.58333333,3.075,0.05770816158
Amritsar,Amritsar I Tahsil,2024-05-26,31.56826409,74.68575319,31.56826409-74.68575319,100.2916667,286.2916667,320.5,35.24166667,2.308333333,0.04263638056
Amritsar,Amritsar I Tahsil,2024-05-27,31.56826409,74.68575319,31.56826409-74.68575319,87.79166667,334.25,336.9583333,29.9,2.454166667,0.04263638056
Amritsar,Amritsar I Tahsil,2024-05-28,31.56826409,74.68575319,31.56826409-74.68575319,88.75,336,339.7916667,26.57083333,2.283333333,0.04263638056
Amritsar,Amritsar I Tahsil,2024-05-29,31.56826409,74.68575319,31.56826409-74.68575319,122.5833333,213.2083333,296.1666667,27.28333333,1.916666667,0.04263638056
Amritsar,Amritsar I Tahsil,2024-05-30,31.56826409,74.68575319,31.56826409-74.68575319,116.2083333,241.5833333,311.7083333,27.60416667,1.791666667,0.04263638056
Amritsar,Amritsar I Tahsil,2024-05-31,31.56826409,74.68575319,31.56826409-74.68575319,130.7916667,216.7083333,305.375,26.5875,2.4875,0.05117615371
Amritsar,Amritsar I Tahsil,2024-05-01,31.5683042,74.83850559,31.56830420-74.83850559,100.5217391,288.9130435,318.9565217,49.49130435,2.47826087,0.3463128877
Amritsar,Amritsar I Tahsil,2024-05-02,31.5683042,74.83850559,31.56830420-74.83850559,93.16666667,281.7083333,313.4583333,42.8,2.675,0.3463128877
Amritsar,Amritsar I Tahsil,2024-05-03,31.5683042,74.83850559,31.56830420-74.83850559,156.5416667,26.41666667,175.875,41.24166667,2.0375,0.3463128877
Amritsar,Amritsar I Tahsil,2024-05-04,31.5683042,74.83850559,31.56830420-74.83850559,130.9583333,195.5,276.7916667,35.87083333,3.125,0.3463128877
Amritsar,Amritsar I Tahsil,2024-05-05,31.5683042,74.83850559,31.56830420-74.83850559,98.375,255.4166667,301.3333333,41.15833333,3.054166667,0.3463128877
Amritsar,Amritsar I Tahsil,2024-05-06,31.5683042,74.83850559,31.56830420-74.83850559,84.95833333,307.75,316.0416667,38.875,2.241666667,0.3143812709
Amritsar,Amritsar I Tahsil,2024-05-07,31.5683042,74.83850559,31.56830420-74.83850559,69.29166667,354.3333333,329.375,36.34583333,1.695833333,0.3143812709
Amritsar,Amritsar I Tahsil,2024-05-08,31.5683042,74.83850559,31.56830420-74.83850559,89.83333333,308.0833333,318.875,38.60833333,2.229166667,0.3143812709
Amritsar,Amritsar I Tahsil,2024-05-09,31.5683042,74.83850559,31.56830420-74.83850559,125.25,203,283.9583333,49.375,2.925,0.3143812709
Amritsar,Amritsar I Tahsil,2024-05-10,31.5683042,74.83850559,31.56830420-74.83850559,145.0416667,119.2083333,246.0833333,52.45416667,2.333333333,0.3143812709
Amritsar,Amritsar I Tahsil,2024-05-11,31.5683042,74.83850559,31.56830420-74.83850559,110.9166667,83.95833333,166.625,49.925,2.033333333,0.2705119676
Amritsar,Amritsar I Tahsil,2024-05-12,31.5683042,74.83850559,31.56830420-74.83850559,137.4166667,77.58333333,198.2083333,54.70416667,2.75,0.2705119676
Amritsar,Amritsar I Tahsil,2024-05-13,31.5683042,74.83850559,31.56830420-74.83850559,101,284.3333333,316.625,41.24166667,2.491666667,0.2705119676
Amritsar,Amritsar I Tahsil,2024-05-14,31.5683042,74.83850559,31.56830420-74.83850559,93.29166667,308.2916667,325.0416667,36.7125,2.329166667,0.2705119676
Amritsar,Amritsar I Tahsil,2024-05-15,31.5683042,74.83850559,31.56830420-74.83850559,106.875,269.75,310.375,35.45416667,1.5125,0.2705119676
Amritsar,Amritsar I Tahsil,2024-05-16,31.5683042,74.83850559,31.56830420-74.83850559,126.7916667,207.2916667,292.1666667,34.92916667,2.3125,0.2266426643
Amritsar,Amritsar I Tahsil,2024-05-17,31.5683042,74.83850559,31.56830420-74.83850559,110.2083333,243.2083333,302.7916667,34.8125,2.2625,0.2266426643
Amritsar,Amritsar I Tahsil,2024-05-18,31.5683042,74.83850559,31.56830420-74.83850559,106.5416667,261.25,308.5416667,32.50833333,2.945833333,0.2266426643
Amritsar,Amritsar I Tahsil,2024-05-19,31.5683042,74.83850559,31.56830420-74.83850559,95.625,275.8333333,311.9166667,33.75,2.095833333,0.2266426643
Amritsar,Amritsar I Tahsil,2024-05-20,31.5683042,74.83850559,31.56830420-74.83850559,101,283.4583333,316.5,31.59583333,1.825,0.2266426643
Amritsar,Amritsar I Tahsil,2024-05-21,31.5683042,74.83850559,31.56830420-74.83850559,117.625,235.875,302.3333333,31.18333333,1.816666667,0.261239782
Amritsar,Amritsar I Tahsil,2024-05-22,31.5683042,74.83850559,31.56830420-74.83850559,112.75,246.125,308.625,39.22916667,1.8375,0.261239782
Amritsar,Amritsar I Tahsil,2024-05-23,31.5683042,74.83850559,31.56830420-74.83850559,142.9583333,153.5,270.75,47.98333333,2.420833333,0.261239782
Amritsar,Amritsar I Tahsil,2024-05-24,31.5683042,74.83850559,31.56830420-74.83850559,156.2916667,114.2916667,250.9583333,48.59583333,2.316666667,0.261239782
Amritsar,Amritsar I Tahsil,2024-05-25,31.5683042,74.83850559,31.56830420-74.83850559,110.2916667,256.5,308.9166667,36.6125,2.991666667,0.261239782
Amritsar,Amritsar I Tahsil,2024-05-26,31.5683042,74.83850559,31.56830420-74.83850559,98.54166667,291.375,321.7916667,35.3125,2.270833333,0.2780703244
Amritsar,Amritsar I Tahsil,2024-05-27,31.5683042,74.83850559,31.56830420-74.83850559,87.375,335.2916667,337.125,29.71666667,2.425,0.2780703244
Amritsar,Amritsar I Tahsil,2024-05-28,31.5683042,74.83850559,31.56830420-74.83850559,87.66666667,337.75,340.0833333,27.3625,2.154166667,0.2780703244
Amritsar,Amritsar I Tahsil,2024-05-29,31.5683042,74.83850559,31.56830420-74.83850559,118.4166667,221.3333333,297.25,27.40416667,2.008333333,0.2780703244
Amritsar,Amritsar I Tahsil,2024-05-30,31.5683042,74.83850559,31.56830420-74.83850559,104,225.7916667,293.375,28.4125,1.833333333,0.2780703244
Amritsar,Amritsar I Tahsil,2024-05-31,31.5683042,74.83850559,31.56830420-74.83850559,131.0833333,215.4583333,304.8333333,27.57916667,2.375,0.2283788843
Amritsar,Amritsar I Tahsil,2024-05-01,31.57085477,74.94019705,31.57085477-74.94019705,99.82608696,290.9565217,319.5217391,50.91304348,2.386956522,0.3019559902
Amritsar,Amritsar I Tahsil,2024-05-02,31.57085477,74.94019705,31.57085477-74.94019705,92,284.375,313.8333333,43.875,2.6125,0.3019559902
Amritsar,Amritsar I Tahsil,2024-05-03,31.57085477,74.94019705,31.57085477-74.94019705,158.6666667,26.41666667,177.25,42.325,2.045833333,0.3019559902
Amritsar,Amritsar I Tahsil,2024-05-04,31.57085477,74.94019705,31.57085477-74.94019705,131.6666667,195.6666667,277,36.38333333,3.0375,0.3019559902
Amritsar,Amritsar I Tahsil,2024-05-05,31.57085477,74.94019705,31.57085477-74.94019705,99.16666667,253.625,301.2916667,41.65416667,2.983333333,0.3019559902
Amritsar,Amritsar I Tahsil,2024-05-06,31.57085477,74.94019705,31.57085477-74.94019705,86.58333333,303.8333333,314.8333333,40.25,2.145833333,0.3237410072
Amritsar,Amritsar I Tahsil,2024-05-07,31.57085477,74.94019705,31.57085477-74.94019705,69.33333333,354.0416667,329.2083333,37.8875,1.525,0.3237410072
Amritsar,Amritsar I Tahsil,2024-05-08,31.57085477,74.94019705,31.57085477-74.94019705,90.41666667,306.5,317.6666667,40.4625,2.3375,0.3237410072
Amritsar,Amritsar I Tahsil,2024-05-09,31.57085477,74.94019705,31.57085477-74.94019705,125.375,202.125,283.6666667,50.5,2.945833333,0.3237410072
Amritsar,Amritsar I Tahsil,2024-05-10,31.57085477,74.94019705,31.57085477-74.94019705,145.4583333,118.875,247.1666667,53.4125,2.3,0.3237410072
Amritsar,Amritsar I Tahsil,2024-05-11,31.57085477,74.94019705,31.57085477-74.94019705,101.6666667,82.16666667,155.5416667,50.82083333,1.954166667,0.2527974479
Amritsar,Amritsar I Tahsil,2024-05-12,31.57085477,74.94019705,31.57085477-74.94019705,139.3333333,72.04166667,195.3333333,55.05,2.695833333,0.2527974479
Amritsar,Amritsar I Tahsil,2024-05-13,31.57085477,74.94019705,31.57085477-74.94019705,101.7083333,283.0416667,316.25,41.99166667,2.491666667,0.2527974479
Amritsar,Amritsar I Tahsil,2024-05-14,31.57085477,74.94019705,31.57085477-74.94019705,92.5,311.2916667,325.9166667,37.15416667,2.233333333,0.2527974479
Amritsar,Amritsar I Tahsil,2024-05-15,31.57085477,74.94019705,31.57085477-74.94019705,106.625,271.5833333,310.875,36.17916667,1.525,0.2527974479
Amritsar,Amritsar I Tahsil,2024-05-16,31.57085477,74.94019705,31.57085477-74.94019705,127.4583333,206.2083333,291.8333333,35.94166667,2.325,0.1818538885
Amritsar,Amritsar I Tahsil,2024-05-17,31.57085477,74.94019705,31.57085477-74.94019705,110.4583333,242.5,302.7083333,36.46666667,2.195833333,0.1818538885
Amritsar,Amritsar I Tahsil,2024-05-18,31.57085477,74.94019705,31.57085477-74.94019705,107.25,257.9166667,308.0833333,33.29166667,2.870833333,0.1818538885
Amritsar,Amritsar I Tahsil,2024-05-19,31.57085477,74.94019705,31.57085477-74.94019705,94.45833333,277.5416667,312.6666667,34.74166667,2.066666667,0.1818538885
Amritsar,Amritsar I Tahsil,2024-05-20,31.57085477,74.94019705,31.57085477-74.94019705,103.4166667,277.4583333,314.5416667,32.82916667,1.791666667,0.1818538885
Amritsar,Amritsar I Tahsil,2024-05-21,31.57085477,74.94019705,31.57085477-74.94019705,118.8333333,231.25,301.0833333,32.57083333,1.8125,0.1301254447
Amritsar,Amritsar I Tahsil,2024-05-22,31.57085477,74.94019705,31.57085477-74.94019705,115.1666667,239.2083333,306.4166667,40.72083333,1.9875,0.1301254447
Amritsar,Amritsar I Tahsil,2024-05-23,31.57085477,74.94019705,31.57085477-74.94019705,143.75,150.875,269.2083333,49.225,2.491666667,0.1301254447
Amritsar,Amritsar I Tahsil,2024-05-24,31.57085477,74.94019705,31.57085477-74.94019705,157.1666667,110.9583333,249.0833333,49.7625,2.404166667,0.1301254447
Amritsar,Amritsar I Tahsil,2024-05-25,31.57085477,74.94019705,31.57085477-74.94019705,109.4583333,258.5833333,309.2916667,37.2375,2.920833333,0.1301254447
Amritsar,Amritsar I Tahsil,2024-05-26,31.57085477,74.94019705,31.57085477-74.94019705,97.41666667,294.5833333,322.7916667,36.025,2.225,0.1544292831
Amritsar,Amritsar I Tahsil,2024-05-27,31.57085477,74.94019705,31.57085477-74.94019705,87.25,335.5,337.375,30.34583333,2.379166667,0.1544292831
Amritsar,Amritsar I Tahsil,2024-05-28,31.57085477,74.94019705,31.57085477-74.94019705,87.95833333,336.4166667,339.875,28.50416667,2.05,0.1544292831
Amritsar,Amritsar I Tahsil,2024-05-29,31.57085477,74.94019705,31.57085477-74.94019705,118.5416667,218.4583333,295.3333333,27.85,2.075,0.1544292831
Amritsar,Amritsar I Tahsil,2024-05-30,31.57085477,74.94019705,31.57085477-74.94019705,107.25,222.4583333,295.0833333,29.43333333,1.883333333,0.1544292831
Amritsar,Amritsar I Tahsil,2024-05-31,31.57085477,74.94019705,31.57085477-74.94019705,130.1666667,218.1666667,305.7916667,28.44583333,2.258333333,0.0878629933
Amritsar,Amritsar I Tahsil,2024-05-01,31.5740862,74.60900359,31.57408620-74.60900359,99.95652174,290.826087,319.6956522,47.96956522,2.686956522,0.1188833124
Amritsar,Amritsar I Tahsil,2024-05-02,31.5740862,74.60900359,31.57408620-74.60900359,94.54166667,276.875,312.7916667,41.85416667,2.729166667,0.1188833124
Amritsar,Amritsar I Tahsil,2024-05-03,31.5740862,74.60900359,31.57408620-74.60900359,153.9166667,24.125,172.1666667,40.49583333,2.0125,0.1188833124
Amritsar,Amritsar I Tahsil,2024-05-04,31.5740862,74.60900359,31.57408620-74.60900359,128.5833333,194.875,277.875,35.50833333,3.333333333,0.1188833124
Amritsar,Amritsar I Tahsil,2024-05-05,31.5740862,74.60900359,31.57408620-74.60900359,98.70833333,251.5416667,299.9583333,41.10416667,3.15,0.1188833124
Amritsar,Amritsar I Tahsil,2024-05-06,31.5740862,74.60900359,31.57408620-74.60900359,82.58333333,315.0416667,318.5416667,37.69166667,2.420833333,0.10651341
Amritsar,Amritsar I Tahsil,2024-05-07,31.5740862,74.60900359,31.57408620-74.60900359,66.875,360.9583333,331.0416667,34.52916667,2.079166667,0.10651341
Amritsar,Amritsar I Tahsil,2024-05-08,31.5740862,74.60900359,31.57408620-74.60900359,88.41666667,314.6666667,321.5416667,35.64166667,2.033333333,0.10651341
Amritsar,Amritsar I Tahsil,2024-05-09,31.5740862,74.60900359,31.57408620-74.60900359,126.0833333,201.7916667,284.2083333,46.9125,2.8625,0.10651341
Amritsar,Amritsar I Tahsil,2024-05-10,31.5740862,74.60900359,31.57408620-74.60900359,148.9166667,114.875,244.7083333,50.54583333,2.520833333,0.10651341
Amritsar,Amritsar I Tahsil,2024-05-11,31.5740862,74.60900359,31.57408620-74.60900359,126.2083333,145.25,240.0833333,48.95416667,2.25,0.1032411819
Amritsar,Amritsar I Tahsil,2024-05-12,31.5740862,74.60900359,31.57408620-74.60900359,152.0833333,78.70833333,213.2916667,55.21666667,2.808333333,0.1032411819
