Latitude,Longitude,District,TOPSIS_Score
31.63194918,74.68023818,Ajnala Tahsil,0.7536088764337381
31.55950931,75.08153183,Amritsar II Tahsil,0.7531109355976817
31.57847211,75.01548279,Amritsar II Tahsil,0.7461804404534385
31.62270727,75.06517808,Baba Bakala Tahsil,0.7157487963573694
31.60853028,74.84806908,Amritsar I Tahsil,0.7081065885709235
31.58453553,74.75431866,Amritsar I Tahsil,0.6998293043609317
31.62744163,74.94944889,Amritsar II Tahsil,0.698717555953245
31.62992022,74.77388602,Amritsar I Tahsil,0.6961624397785664
31.61913422,74.6945321,Ajnala Tahsil,0.6888222972331596
31.5876061,74.60374502,Amritsar I Tahsil,0.6748292640141434
31.59820869,74.93628025,Amritsar I Tahsil,0.6727837630181577
31.58407716,74.77115998,Amritsar I Tahsil,0.6659255295765482
31.61873629,74.81880151,Amritsar I Tahsil,0.6459180497636124
31.61435788,74.83177063,Amritsar I Tahsil,0.6386674260631451
31.61202816,75.09064259,Baba Bakala Tahsil,0.6366874615670587
31.6001665,74.80806262,Amritsar I Tahsil,0.6338123618390062
31.57085477,74.94019705,Amritsar I Tahsil,0.620591488662471
31.55699489,74.62396037,Amritsar I Tahsil,0.6141056940307266
31.55252382,74.95269094,Amritsar II Tahsil,0.6134506974126819
31.57670644,74.74284798,Amritsar I Tahsil,0.6071633020415756
31.50807532,74.60601728,Amritsar I Tahsil,0.5804898605645579
31.61113354,74.84101444,Amritsar I Tahsil,0.5656306009384918
31.59259574,74.88131048,Amritsar I Tahsil,0.548153998834265
31.59176403,74.82937581,Amritsar I Tahsil,0.5413415372413412
31.63240381,74.75663303,Amritsar I Tahsil,0.53854890509987
31.5683042,74.83850559,Amritsar I Tahsil,0.4992081272168749
31.6056619,74.99138438,Amritsar II Tahsil,0.49725614819368047
31.55808304,74.96577771,Amritsar I Tahsil,0.46349566273627396
31.63073905,74.6979162,Ajnala Tahsil,0.42779971915512544
31.59365916,74.97335728,Amritsar II Tahsil,0.31017461887517
31.61126461,74.72418076,Amritsar I Tahsil,0.22129890601256486
31.58374062,74.77299992,Amritsar I Tahsil,0.18144745803468731
31.51696165,74.99423843,Amritsar II Tahsil,0.17478123349497393
31.61817157,75.05763315,Amritsar II Tahsil,0.1007515015489633
31.6163584,75.05101774,Amritsar II Tahsil,0.08983436079508833
