Coordinate,Date,Hour,NDVI Values,City
"(74.61060586688106, 31.83523984804503)",2024-05-11,10:30,0.1136189748,Amritsar
"(74.61060586688106, 31.83523984804503)",2024-05-16,10:30,0.05463879721,Amritsar
"(74.61060586688106, 31.83523984804503)",2024-05-21,10:30,0.05467178643,Amritsar
"(74.61060586688106, 31.83523984804503)",2024-05-26,10:30,0.06921331316,Amritsar
"(74.61060586688106, 31.83523984804503)",2024-05-31,10:30,0.09403877514,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-01,10:30,0.2641277641,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-06,10:30,0.2344328238,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-11,10:30,0.2451545312,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-16,10:30,0.1707709641,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-21,10:30,0.1682539683,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-26,10:30,0.1488444967,Amritsar
"(74.6119818131594, 31.71659154974943)",2024-05-31,10:30,0.1244071507,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-01,10:30,0.1210118935,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-06,10:30,0.1262732417,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-11,10:30,0.108965882,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-16,10:30,0.06045723963,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-21,10:30,0.05453991469,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-26,10:30,0.04989946993,Amritsar
"(74.61328404447784, 31.778735253010293)",2024-05-31,10:30,0.05429625725,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-01,10:30,0.1846647319,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-06,10:30,0.1710117939,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-11,10:30,0.1693300103,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-16,10:30,0.09236388937,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-21,10:30,0.09523809524,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-26,10:30,0.1267134738,Amritsar
"(74.61542926105203, 31.759537413697164)",2024-05-31,10:30,0.1500081793,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-01,10:30,0.257212374,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-06,10:30,0.2463211772,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-11,10:30,0.2577288942,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-16,10:30,0.1727240014,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-21,10:30,0.1970021413,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-26,10:30,0.256362717,Amritsar
"(74.61599091394552, 31.82873285778212)",2024-05-31,10:30,0.2604986877,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-01,10:30,0.1409727513,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-06,10:30,0.13605595739999998,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-11,10:30,0.05326380217,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-16,10:30,0.10251524486,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-21,10:30,0.10136417408500001,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-26,10:30,0.1230761806,Amritsar
"(74.61611407440374, 31.565092458399672)",2024-05-31,10:30,0.10520208671,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-01,10:30,0.1287519747,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-06,10:30,0.1283018868,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-11,10:30,0.1343325396,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-16,10:30,0.1161898673,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-21,10:30,0.1089712727,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-26,10:30,0.0818818167,Amritsar
"(74.62059926626279, 31.828502976474176)",2024-05-31,10:30,0.07907582167,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-01,10:30,0.24322523680000002,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-06,10:30,0.25252262485,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-11,10:30,0.1956571771,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-16,10:30,0.17684850285,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-21,10:30,0.2162278584,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-26,10:30,0.20016889445,Amritsar
"(74.62396037305855, 31.556994889091452)",2024-05-31,10:30,0.19288718435000002,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-01,10:30,0.1340603131,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-06,10:30,0.1259843607,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-11,10:30,0.081862666665,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-16,10:30,0.1128833031,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-21,10:30,0.0606169741,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-26,10:30,0.078417005815,Amritsar
"(74.62420361443276, 31.588423107288346)",2024-05-31,10:30,0.079152477175,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-01,10:30,0.1177973318,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-06,10:30,0.1148770246,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-11,10:30,0.1129207383,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-16,10:30,0.05945945946,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-21,10:30,0.0650710546,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-26,10:30,0.06177174781,Amritsar
"(74.62581479203276, 31.8352660127005)",2024-05-31,10:30,0.07362826325,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-01,10:30,0.1226457067,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-06,10:30,0.1108236309,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-11,10:30,0.08028800435,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-16,10:30,0.04078826764,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-21,10:30,0.04989429175,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-26,10:30,0.05339805825,Amritsar
"(74.62681447611666, 31.516567634825634)",2024-05-31,10:30,0.06850425618,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-01,10:30,0.1067589621,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-06,10:30,0.1002125308,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-11,10:30,0.06260100194,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-16,10:30,0.09066836857999999,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-21,10:30,0.038643691065,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-26,10:30,0.06990218025,Amritsar
"(74.62800712191914, 31.55577504731056)",2024-05-31,10:30,0.05657650929,Amritsar
"(74.6290050614105, 31.60020003323066)",2024-05-01,10:30,0.11356969375,Amritsar
